ax,ay,az,gx,gy,gz,label
-0.1340,-0.0406,0.7617,9.3384,101.3184,-11.0474,updown
-0.2383,-0.0026,0.8793,6.7139,111.1450,-9.9487,updown
-0.0986,-0.0453,1.0909,-14.8315,134.2163,8.9722,updown
-0.0630,-0.1051,1.3472,8.9111,116.2109,-0.7324,updown
-0.0607,-0.0989,1.3854,3.4180,99.9756,5.8594,updown
-0.0178,-0.0735,1.5205,-2.6855,88.7451,-1.7700,updown
-0.0305,-0.0288,1.6836,-25.2686,75.8667,17.8833,updown
0.0392,-0.1001,1.9960,-19.1650,45.5322,18.0054,updown
0.0697,-0.0997,2.0277,-12.5732,-7.0190,17.7612,updown
0.0714,-0.1606,1.8772,5.3711,-50.0488,7.7515,updown
0.0522,-0.0747,1.6028,10.4370,-94.7266,-4.1504,updown
0.0447,-0.0194,1.4022,-0.1831,-117.4927,1.2207,updown
0.0519,-0.0348,1.1674,3.3569,-124.6948,1.6479,updown
0.0348,-0.0393,1.0444,9.0942,-126.8310,1.5259,updown
-0.0164,-0.0853,0.8502,20.9961,-124.3896,-4.6997,updown
-0.0743,-0.0851,0.7101,9.6436,-119.3237,-3.7842,updown
-0.1835,-0.0759,0.5405,8.8501,-106.8726,-4.1504,updown
-0.2244,-0.0385,0.4503,7.7515,-88.3789,-1.7700,updown
-0.2948,-0.0402,0.3347,10.6812,-72.8760,-0.5493,updown
-0.3263,-0.0953,0.2870,14.6484,-42.6025,-0.7324,updown
-0.3342,-0.0701,0.2252,22.7051,-21.6675,-6.6528,updown
-0.3328,-0.0570,0.2162,22.0337,13.7329,-1.8921,updown
-0.3068,-0.1147,0.2303,1.4648,34.5459,-0.1831,updown
-0.2448,-0.1206,0.4465,-49.2554,65.0024,1.4648,updown
-0.2671,-0.1276,0.6677,-41.9922,76.1108,-10.0708,updown
-0.2490,-0.1299,0.7036,-15.8691,79.4067,-20.2026,updown
-0.3002,0.0054,0.6843,-7.4463,82.2143,-22.5220,updown
-0.2218,0.0214,0.8405,1.0986,104.8584,-15.6250,updown
-0.2231,0.0441,0.8992,23.0103,108.1543,-19.8975,updown
-0.1189,-0.0950,1.0826,25.8789,120.7886,-12.7563,updown
-0.0085,-0.0901,1.2836,24.8413,113.5864,-12.4512,updown
-0.0635,-0.0874,1.4664,-6.6528,101.8677,9.1553,updown
-0.0065,-0.1462,1.5748,16.2354,76.2939,-4.9438,updown
-0.0226,-0.0643,1.7589,-10.2539,63.5986,8.7280,updown
0.0115,-0.0774,1.8040,-5.3101,21.7895,7.5684,updown
0.0529,-0.0491,1.8699,-7.4463,-9.7046,9.8267,updown
0.0502,-0.0554,1.7515,-7.8735,-59.2651,10.4370,updown
0.0312,-0.0983,1.5011,-9.8267,-79.2236,10.9253,updown
-0.0138,-0.0608,1.3594,0.1221,-86.4868,10.9863,updown
-0.0045,-0.0498,1.2186,-17.9443,-104.3091,4.1504,updown
-0.0049,0.0013,1.0477,-15.8081,-111.8774,7.3242,updown
-0.0474,-0.0715,0.8756,3.8452,-109.7412,5.0659,updown
-0.1144,-0.0581,0.7725,6.8359,-101.9897,3.8452,updown
-0.1437,-0.0476,0.6016,2.0142,-84.9609,7.0801,updown
-0.2039,-0.0024,0.5743,1.9531,-76.1108,7.3853,updown
-0.2483,-0.0632,0.4344,2.0752,-65.9180,6.1035,updown
-0.1327,0.0303,0.8082,2.6245,-112.0605,-3.8452,updown
-0.1830,0.0264,0.7310,13.7329,-94.2383,-4.8828,updown
-0.2419,0.0525,0.5991,21.3623,-90.6982,-2.9297,updown
-0.3225,-0.0409,0.4290,20.5688,-81.1768,-2.8076,updown
-0.3497,-0.0406,0.3280,18.1274,-49.1333,-7.5684,updown
-0.3281,-0.0037,0.3483,16.3574,-21.8506,-3.5400,updown
-0.3152,-0.0217,0.3350,17.5781,4.3335,6.1035,updown
-0.2700,-0.0973,0.3451,22.2168,34.7900,5.7983,updown
-0.2167,-0.0527,0.4867,-0.6104,55.1147,7.8125,updown
-0.2214,-0.1238,0.5583,7.8125,60.9741,6.2866,updown
-0.1980,-0.0897,0.6074,9.8267,73.4253,-0.4883,updown
-0.1881,-0.1428,0.6139,-2.5635,84.2895,4.3945,updown
-0.1864,-0.1947,0.7750,0.6104,101.3794,-7.8125,updown
-0.0704,-0.1702,0.9054,-0.7324,107.6660,-19.2261,updown
-0.0760,0.0359,1.0406,-9.6436,110.6567,-13.1836,updown
0.0287,-0.0552,1.2902,-13.5498,123.6572,-3.1128,updown
-0.0350,0.0612,1.4856,-16.4795,100.7690,8.4839,updown
-0.0165,0.0157,1.6134,-7.0801,84.6558,10.1318,updown
-0.0341,-0.0198,1.7897,-0.1221,64.0259,13.7939,updown
0.0267,-0.0554,1.9034,-18.0054,21.4233,22.0337,updown
0.0917,-0.0571,1.9574,-8.9722,-4.3335,19.5923,updown
0.1023,-0.0828,1.8887,12.5122,-73.9746,4.7607,updown
0.0469,-0.0363,1.4969,11.7798,-102.0508,1.9531,updown
0.0466,-0.0327,1.3229,18.9209,-117.4316,1.6479,updown
0.0129,-0.0546,1.1156,14.0381,-123.8403,2.1973,updown
-0.0621,-0.0533,0.9821,29.4189,-117.3096,2.6855,updown
-0.0404,-0.1458,0.8652,16.6016,-105.5908,-0.3052,updown
-0.0800,-0.0537,0.7778,5.5542,-103.6987,-0.3052,updown
-0.1484,-0.0966,0.6266,20.0806,-85.9985,-1.0376,updown
-0.1973,-0.1312,0.5377,19.4092,-69.3359,-3.6621,updown
-0.2660,-0.0605,0.4851,-11.4136,-71.8994,-2.5635,updown
-0.2643,-0.1434,0.3663,28.4424,-50.7812,-7.5073,updown
-0.3043,-0.1211,0.2625,22.0947,-36.3159,-13.0615,updown
-0.2949,-0.0344,0.1659,14.0381,-5.9814,-11.3525,updown
-0.3267,0.0073,0.1943,-6.8970,25.0244,6.4087,updown
-0.3041,-0.0657,0.3517,-2.9907,54.6265,11.5356,updown
-0.2366,-0.0966,0.5051,0.4272,79.4067,4.6387,updown
-0.2228,-0.1152,0.5798,9.3994,86.7920,6.1035,updown
-0.1210,-0.1316,0.6168,24.3530,110.3516,4.6997,updown
-0.0563,-0.2078,0.8137,3.1738,120.8496,9.8267,updown
0.0001,-0.1907,0.9244,13.2446,124.0845,10.7422,updown
0.0846,-0.1019,1.0710,6.3477,119.9341,6.8359,updown
0.0614,-0.1259,1.3650,-7.1411,123.8403,23.8037,updown
0.0986,-0.2145,1.5702,-6.1646,99.7925,24.6582,updown
0.0403,-0.1476,1.6071,22.6440,72.0215,4.8218,updown
-0.0168,-0.2007,1.6790,8.3618,45.4712,13.9770,updown
-0.0439,-0.2340,1.5929,-2.3193,31.7383,27.1606,updown
0.0137,-0.3700,1.7562,-15.8691,13.0005,24.3530,updown
0.0485,-0.3826,1.7623,-20.5688,-28.0151,8.3008,updown
0.1073,-0.2870,1.6412,-14.4653,-56.0303,-10.8032,updown
0.1993,-0.1926,1.6831,2.1362,46.1426,3.1128,updown
0.0684,-0.1123,1.7196,-11.0474,37.8418,15.8691,updown
0.0310,-0.1628,1.7531,-24.1089,28.4424,29.7852,updown
0.0647,-0.2719,1.8293,-10.1929,-4.1504,17.7002,updown
0.1082,-0.2802,1.7445,-6.1646,-50.6592,8.0566,updown
0.1421,-0.2042,1.6530,-10.1929,-79.2236,6.6528,updown
0.1423,-0.1638,1.4741,2.5635,-104.7974,-1.4038,updown
0.0878,-0.1222,1.2153,9.4604,-117.7978,-4.6387,updown
0.0579,-0.1089,1.0602,5.0049,-112.0605,-0.7324,updown
-0.0137,-0.1296,0.9384,10.8032,-103.2104,4.2725,updown
-0.0286,-0.1423,0.8232,8.8501,-107.7881,-8.1787,updown
-0.1473,-0.0558,0.5696,20.6299,-111.5723,-19.0430,updown
-0.1859,-0.0044,0.4952,17.2729,-83.8623,-12.0239,updown
-0.2183,-0.1414,0.4054,11.1084,-62.5000,-8.1787,updown
-0.2819,-0.0841,0.3853,3.5400,-54.3213,-11.7187,updown
-0.3120,-0.1643,0.2988,7.4463,-33.6304,-11.1694,updown
-0.3165,-0.1606,0.3561,-1.2817,-3.7231,-6.9580,updown
-0.2815,-0.1562,0.4066,7.8125,14.4653,-11.7187,updown
-0.3395,-0.0701,0.3760,-1.5259,30.2124,-8.3618,updown
-0.3092,-0.1166,0.4303,9.3994,62.5610,-1.5259,updown
-0.2065,-0.1680,0.6405,0.8545,82.7026,-0.1831,updown
-0.1340,-0.1278,0.7233,3.7231,86.4868,5.0049,updown
-0.0734,-0.1666,0.7682,16.6626,99.0601,8.9111,updown
-0.0248,-0.1847,0.9452,2.1973,103.5767,13.0005,updown
0.0264,-0.2173,1.0061,-0.3052,97.5952,13.8550,updown
0.0601,-0.1899,1.1510,-3.0518,102.7222,9.3384,updown
0.0237,-0.0798,1.2644,-6.7749,94.7876,15.8691,updown
0.0248,-0.1490,1.3452,11.4136,88.9893,16.9067,updown
0.0946,-0.2242,1.4243,18.3105,78.3691,18.4326,updown
0.0613,-0.3033,1.5220,-14.8926,62.4390,26.3672,updown
0.1144,-0.3401,1.7460,-28.3813,35.3394,18.6157,updown
0.1559,-0.3223,1.7845,-11.2915,-3.9673,3.7231,updown
0.1591,-0.2812,1.6804,-7.9956,-37.1704,-6.4087,updown
0.1743,-0.2152,1.6184,-14.5874,-69.0308,-8.1787,updown
0.1700,-0.1388,1.4752,-29.7852,-88.6230,-0.0610,updown
0.1719,-0.1249,1.3561,-8.9111,-113.4643,-6.1646,updown
0.0945,-0.1338,1.0847,2.8687,-123.8403,-11.6577,updown
0.0186,-0.1046,0.8925,1.6479,-120.4224,-11.5967,updown
-0.0363,-0.1448,0.7794,-8.8501,-110.2295,-6.1646,updown
-0.1320,-0.0736,0.7316,-0.0610,-101.1352,-13.0615,updown
-0.1718,-0.0608,0.5903,3.1128,-90.6372,-5.2490,updown
-0.2896,-0.0795,0.4205,13.0615,-73.3643,-4.9438,updown
-0.3103,-0.1094,0.3560,29.4800,-40.8325,-15.5640,updown
-0.2987,-0.0740,0.4062,7.2632,-28.8086,-11.2305,updown
