ax,ay,az,gx,gy,gz,label
-0.1151,0.1062,1.0177,63.2935,-42.4194,134.5215,shake
-0.2244,-0.6027,0.8407,86.0596,-40.2832,127.5635,shake
-0.1888,-1.2900,0.5314,89.7827,-18.1274,47.0581,shake
-0.2458,-0.9503,0.5583,-50.3540,0.3662,-42.2363,shake
-0.2849,-0.4473,0.8842,-86.4868,31.1279,-110.9009,shake
-0.2399,0.0127,1.0458,-69.7021,18.1885,-134.2773,shake
-0.3380,0.4718,0.9280,-61.4624,1.7700,-113.5254,shake
-0.4015,0.8577,1.0040,-22.0337,16.1133,-58.2886,shake
-0.3787,0.8502,1.1473,46.9360,9.5825,61.4014,shake
-0.2072,0.2937,0.9481,74.8901,-9.8267,128.6621,shake
-0.1731,-0.1718,0.9645,73.9136,-12.7563,152.5879,shake
-0.1531,-0.8373,0.8965,46.9360,-31.8603,119.9341,shake
-0.1891,-1.1863,0.5010,84.8999,-18.8599,17.2119,shake
-0.2059,-0.8383,0.5262,-65.3076,16.1133,-66.2842,shake
-0.2365,-0.4192,0.9259,-101.9897,45.5322,-137.7563,shake
-0.2168,0.0511,1.0990,-76.2939,38.5742,-148.3154,shake
-0.3578,0.5806,0.9375,-44.3726,3.4790,-127.5024,shake
-0.3859,0.8665,0.9884,-32.9590,18.9819,-57.4951,shake
-0.3087,0.7327,1.0963,47.6685,20.3857,54.2603,shake
-0.1643,0.2976,1.1219,75.8057,1.7090,128.0518,shake
-0.1078,-0.2045,0.9943,60.1807,-21.5454,144.3481,shake
-0.1448,-0.6267,0.8124,87.1582,-15.3809,101.9897,shake
-0.1395,-1.2068,0.5970,87.4023,-6.8970,45.5322,shake
-0.1635,-0.8978,0.5999,-67.5659,9.1553,-63.1714,shake
-0.2102,-0.3354,0.9427,-92.5293,22.2168,-106.8726,shake
-0.1093,0.1469,1.0798,59.7534,-49.7436,113.0371,shake
-0.1914,-0.2159,0.8750,38.2690,-57.4341,128.1738,shake
-0.2571,-0.8955,0.7166,96.1914,-32.8979,88.6841,shake
-0.2173,-1.2526,0.4460,38.8184,-7.8125,-2.3804,shake
-0.2976,-0.6454,0.6465,-83.3130,26.9775,-69.3970,shake
-0.2594,-0.2921,0.9673,-62.3169,54.5044,-113.0371,shake
-0.2568,0.2250,1.0442,-75.1343,36.6211,-105.6518,shake
-0.2996,0.6194,1.0276,-38.8794,25.7568,-69.4580,shake
-0.3013,0.7458,1.1880,-4.0283,25.6348,-10.1318,shake
-0.1735,0.3789,1.2019,75.8057,-11.5356,99.3042,shake
-0.1036,-0.0691,0.9385,67.5049,-44.4946,143.1274,shake
-0.1562,-0.6118,0.8358,54.6875,-35.6445,113.4643,shake
-0.2163,-0.9635,0.6794,81.6650,-14.2822,46.1426,shake
-0.1957,-1.0081,0.4955,16.4185,4.3335,-19.3481,shake
-0.2000,-0.5870,0.7399,-79.9561,39.0625,-91.0034,shake
-0.2111,-0.0511,1.0590,-87.2803,42.6025,-108.2764,shake
-0.2749,0.3925,1.0778,-65.6738,25.0854,-88.3179,shake
-0.2855,0.6945,1.2158,-11.9019,9.8877,-33.0200,shake
-0.2144,0.4069,1.1635,27.5879,-26.3062,73.1201,shake
-0.1626,-0.1119,0.9861,27.0386,-40.2222,103.7598,shake
-0.1897,-0.5343,0.8796,65.3687,-29.9072,71.5332,shake
-0.2123,-0.9502,0.6587,73.9746,-19.5313,30.1514,shake
-0.2493,-0.8181,0.5771,-37.3535,9.0332,-46.2646,shake
-0.2830,-0.2850,0.9054,-63.7207,29.9683,-80.2002,shake
-0.2972,0.0480,1.0015,-55.6641,33.6914,-83.1909,shake
-0.2852,0.3885,1.0203,-33.7524,28.5645,-71.5942,shake
-0.3159,0.6217,1.1454,1.3428,21.6064,-3.6011,shake
-0.1637,0.3585,1.2438,61.9507,-6.2256,75.5005,shake
-0.1136,-0.0896,1.0179,46.5698,-60.7910,135.0098,shake
-0.1703,-0.5614,0.7599,36.9263,-55.4810,141.8457,shake
-0.1782,-1.3651,0.5055,118.4082,-12.3901,27.7710,shake
-0.1530,-1.0736,0.4592,-68.8477,10.7422,-80.0781,shake
-0.2473,-0.3846,0.8555,-110.3516,49.9878,-119.8730,shake
-0.1796,0.0758,1.1191,-83.6182,44.6167,-135.6201,shake
-0.2769,0.5703,1.0060,-70.4346,26.8555,-108.0933,shake
-0.2898,0.7733,1.1202,-16.9067,21.1792,-33.6304,shake
-0.1898,0.4856,1.2435,39.9780,-0.4272,57.4341,shake
-0.1042,0.0748,1.0420,69.9463,-41.8091,113.2202,shake
-0.2042,-0.4316,0.8861,65.8569,-35.4614,86.9751,shake
-0.2334,-0.6555,0.8073,60.4858,-22.8882,66.7114,shake
-0.2018,-1.0247,0.5598,52.1851,-7.0801,12.7563,shake
-0.2289,-0.6405,0.7081,-45.2270,30.8228,-57.9834,shake
-0.2189,-0.2821,0.9757,-54.5044,37.9028,-84.4726,shake
-0.2198,0.1127,0.9690,-68.7866,32.8979,-102.1118,shake
-0.3029,0.8157,1.2255,-58.8989,29.7241,-65.1855,shake
-0.2496,0.8035,1.2632,43.5791,-8.7891,76.5381,shake
-0.1428,0.2400,1.0195,47.3022,-36.0107,159.4849,shake
-0.1095,-0.5289,0.8827,19.5923,-35.4614,164.8559,shake
-0.1398,-0.9141,0.7714,76.7212,-20.9351,89.5386,shake
-0.0760,-1.2902,0.5658,49.3774,-12.3291,-0.7935,shake
-0.3262,0.6304,1.0530,-57.6782,12.5122,-95.7031,shake
-0.3633,0.8900,1.0938,-5.9204,3.5400,10.5591,shake
-0.1646,0.4652,1.1844,60.2417,-3.7231,99.4873,shake
-0.0713,0.0825,1.1102,40.9546,-55.4199,148.4375,shake
-0.1250,-0.4331,0.8524,53.8940,-51.4526,149.1089,shake
-0.1506,-1.1525,0.5914,139.0381,-7.6294,70.9229,shake
