ax,ay,az,gx,gy,gz,label
-0.0055,-0.0892,0.9625,-6.5918,-1.3428,-23.0713,circle
0.0140,-0.0643,0.9943,-5.4321,1.0376,-19.1040,circle
0.0203,-0.0360,0.9879,-4.6997,-1.5259,-14.5874,circle
0.0292,-0.0387,1.0011,-2.4414,-1.0376,-10.5591,circle
0.0422,-0.0009,1.0048,1.4038,-3.6011,-9.0942,circle
0.0276,0.0192,0.9626,-1.1597,-3.4790,1.5259,circle
0.0444,0.0151,0.9595,-8.9722,1.0376,11.8408,circle
0.1473,0.1227,1.0563,-12.7563,12.2070,19.1650,circle
-0.0410,-0.0947,1.0369,-0.6714,1.0376,-34.4849,circle
-0.0637,-0.1014,0.9727,-7.3853,0.6104,-28.0762,circle
0.0220,-0.0302,1.0519,-14.7705,7.8735,-26.1841,circle
0.0286,-0.0315,1.0596,-8.4839,-1.2207,-26.4282,circle
0.0416,-0.0173,0.9939,-1.8921,-2.8076,-21.6064,circle
0.0345,0.0234,0.9312,-0.7324,-0.9766,-19.5313,circle
0.2040,0.2134,1.0695,0.1221,9.3384,-21.1792,circle
0.2393,0.2668,1.1957,16.1743,4.3945,-2.0142,circle
0.2120,0.0930,1.0837,15.3809,-17.2729,24.1699,circle
0.2180,-0.0007,0.9907,7.8735,-20.5078,30.8838,circle
0.2517,-0.0149,1.0386,4.0894,-15.5640,32.2876,circle
0.2761,-0.0635,1.0355,-5.6152,-25.0854,47.2412,circle
0.2371,-0.1342,0.9318,-3.1738,-24.2310,49.7436,circle
0.2474,-0.2008,0.9135,1.4648,-19.1650,36.3770,circle
0.2209,-0.2109,0.9185,-1.9531,-18.4326,37.1704,circle
0.1858,-0.2090,0.8876,-7.3853,-14.6484,33.0811,circle
0.1572,-0.2013,0.9197,-2.3193,-8.2397,30.6396,circle
0.1141,-0.2338,0.9744,16.6016,-13.3057,30.7007,circle
0.1277,-0.2944,0.9855,16.7236,-22.1558,34.0576,circle
0.0198,-0.3459,0.8986,16.2964,-13.0005,18.4326,circle
0.0016,-0.3882,0.9517,22.5830,-5.6763,3.7231,circle
-0.0399,-0.4413,0.9158,4.8218,3.4180,3.7842,circle
-0.0854,-0.4562,0.9014,-2.5635,20.6909,-14.8926,circle
-0.0616,-0.4563,0.9561,9.5825,28.9917,-26.9165,circle
-0.0648,-0.4282,1.0480,-17.5781,25.6348,-35.3394,circle
-0.1257,-0.3334,0.9615,-6.0425,17.9443,-39.7339,circle
-0.1252,-0.3151,0.9916,15.1978,27.7710,-49.6826,circle
-0.1344,-0.2754,1.0533,7.9346,20.6909,-46.5698,circle
-0.0907,-0.1975,1.1080,-18.8599,18.6768,-39.9780,circle
-0.1051,-0.0676,1.1451,-8.4229,7.1411,-37.4756,circle
-0.1470,-0.1340,1.0391,6.2866,-10.6201,-24.7192,circle
-0.0803,-0.0645,1.0013,-14.7095,-9.5825,-21.6675,circle
-0.0387,0.0961,1.0071,-7.6904,-5.3711,-9.8267,circle
0.0795,0.1372,0.9994,-16.6626,-5.0049,6.9580,circle
0.2104,0.2645,1.0831,-29.6020,5.2490,13.1836,circle
0.2728,0.3030,1.1569,-2.0752,-2.4414,25.9399,circle
0.3203,0.1146,1.0331,1.5259,-17.9443,38.8794,circle
0.3688,0.0636,1.0179,-13.6719,-16.1133,37.0483,circle
0.2771,-0.0450,0.9417,-6.2866,-19.8364,42.3584,circle
0.2531,-0.1218,0.8632,-4.7607,-15.5640,37.3535,circle
0.2155,-0.1672,0.8406,2.9907,-11.2305,34.8511,circle
0.2212,-0.2241,0.9166,-5.4932,-7.8125,34.4238,circle
0.1388,-0.2288,0.8862,-5.2490,-4.3945,30.1514,circle
0.1586,-0.3580,0.9749,-4.5166,10.9253,28.0151,circle
0.0979,-0.3694,0.9792,-3.7842,7.7515,17.9443,circle
0.0813,-0.3542,1.0354,-0.3052,7.8735,3.3569,circle
0.0383,-0.3546,1.0055,2.8076,6.2866,-0.6714,circle
-0.0234,-0.3978,0.9934,6.5308,12.7563,-11.2305,circle
-0.0465,-0.3806,0.9983,4.3335,14.8315,-29.7852,circle
-0.0885,-0.3171,1.0083,19.1650,17.4561,-40.4663,circle
0.0739,-0.4083,0.9326,11.7798,2.8076,16.6016,circle
0.0530,-0.4702,0.9476,10.9253,10.0708,-2.9297,circle
0.0205,-0.4530,0.9602,1.5259,11.7798,-15.1978,circle
-0.0037,-0.4664,0.9404,-5.1880,15.7471,-28.3203,circle
-0.0422,-0.4224,0.9944,-2.7466,22.3389,-43.1519,circle
-0.0679,-0.3560,1.0164,-6.8359,20.7520,-51.5137,circle
-0.0992,-0.2394,1.0170,-0.3662,18.9819,-55.3589,circle
-0.1141,-0.1835,1.0236,7.6294,17.8833,-54.3823,circle
-0.0992,-0.1189,1.0494,1.6479,18.4937,-48.5840,circle
-0.0907,-0.1060,1.0509,-4.0894,11.2915,-36.6821,circle
-0.0717,-0.0792,0.9712,-2.1362,6.8359,-32.1655,circle
0.0042,-0.0410,1.0654,-5.1270,11.6577,-33.8135,circle
0.0306,0.0564,1.0594,-20.6299,6.7749,-24.8413,circle
