ax,ay,az,gx,gy,gz,label
-0.5553,-1.5659,1.0048,-54.6265,-21.2402,-95.4590,background
-0.0913,-0.8684,1.1196,-69.8853,18.8599,-151.3062,background
-0.0717,-0.7527,1.3010,1.8311,-12.6343,-218.6279,background
0.2721,-0.3588,1.3934,134.9487,-137.0850,-314.7583,background
0.6184,0.4154,1.2487,272.6440,-269.0430,-366.5771,background
0.7230,0.9430,0.7539,152.8931,-246.5820,-266.1743,background
0.6938,1.1913,0.3385,98.6328,-105.7129,-114.2578,background
0.6440,0.9132,0.3138,25.1465,62.3779,79.6509,background
0.6755,0.5704,0.3485,-31.6162,184.7534,167.9687,background
0.6278,0.1720,0.5750,16.1133,220.7641,224.5483,background
0.2798,-0.0720,1.2333,-38.3301,312.1338,208.8623,background
-0.1537,-0.2543,2.1572,-62.6221,273.0713,210.5713,background
-0.5732,-0.5377,3.2739,-94.7266,178.1006,182.0068,background
-0.2480,-0.6143,3.3187,-24.6582,-38.5132,91.9189,background
0.2748,-0.1733,2.7155,-15.0757,-207.6416,33.1421,background
0.5378,0.0455,1.7970,54.6265,-398.3764,8.8501,background
0.5297,-0.0610,0.5754,26.4282,-405.5175,1.2207,background
0.3711,0.0303,-0.2061,1.0376,-270.0806,-7.7515,background
-0.0031,0.1593,-0.3889,17.2119,-257.5073,-12.6953,background
-0.0371,0.2971,-0.4984,-29.4189,-163.0249,7.4463,background
-0.0795,-0.0148,-1.2717,-25.8179,-138.0005,45.8984,background
-0.0669,-0.5356,-1.3015,113.8916,70.3125,50.0488,background
0.2932,-0.6251,-0.2621,77.0264,331.1767,40.1001,background
0.7213,-0.2187,1.3988,-6.2256,490.4174,-11.8408,background
0.5848,0.3320,2.9337,-9.2773,419.3115,-22.5220,background
-0.0613,0.0541,2.6904,-18.1274,152.1606,95.5200,background
-0.1361,-0.2079,0.0613,35.8887,132.8125,11.0474,background
-0.0261,-0.2584,0.6445,37.6587,240.7226,-7.7515,background
-0.1046,-0.2382,1.6008,8.9722,243.1640,-35.1563,background
-0.0651,0.0157,1.9475,-33.0811,138.4277,-30.3345,background
-0.1714,-0.0311,2.0061,-20.2637,13.2446,9.7656,background
-0.2545,-0.2028,1.9091,-30.4565,-39.1235,44.4336,background
-0.3434,-0.3174,1.8864,-25.8789,-129.0283,38.2080,background
-0.2550,-0.2737,1.3544,-8.4839,-198.4863,22.2778,background
-0.2606,-0.2812,0.8871,13.4888,-219.9707,11.7798,background
-0.2566,-0.2312,0.4580,15.9912,-191.4673,-23.1934,background
-0.2606,-0.0948,0.0581,24.7803,-146.4233,-29.1138,background
-0.3201,-0.0895,-0.2053,-22.7661,-43.2129,-33.6304,background
-0.2416,-0.0184,-0.6582,-21.3623,52.8564,-39.8560,background
0.0016,-0.0542,-0.3605,46.2036,212.7685,-38.7573,background
0.2909,0.0193,0.2871,41.7480,326.0498,-27.7710,background
0.2927,0.0472,1.9052,26.8555,342.6513,0.1221,background
0.2640,0.1154,2.1956,6.6528,155.3345,6.4697,background
