ax,ay,az,gx,gy,gz,label
-0.2131,-0.2313,0.9476,2.9907,3.0518,-4.8828,rest
-0.2074,-0.2505,0.9478,7.0190,3.9673,-4.6997,rest
-0.1766,-0.2842,0.9501,5.4321,4.3335,-4.0894,rest
-0.1730,-0.2810,0.9465,1.5869,1.8311,-5.0659,rest
-0.1801,-0.2607,0.9500,-2.9907,0.9766,-3.4180,rest
-0.1790,-0.2466,0.9585,-2.6855,1.7090,-2.3193,rest
-0.1931,-0.2657,0.9500,-2.6855,-0.8545,2.0142,rest
-0.1884,-0.2675,0.9364,-3.9062,-3.1738,-0.5493,rest
-0.2002,-0.2373,0.9502,-5.0659,-2.1362,-0.9155,rest
-0.1938,-0.2507,0.9456,-4.0894,-1.0376,0.3662,rest
-0.1753,-0.2335,0.9639,-2.1973,-1.7090,0.0610,rest
-0.1780,-0.2296,0.9578,-0.9766,-0.9766,3.5400,rest
-0.1748,-0.2362,0.9590,1.8311,-0.6104,5.3101,rest
-0.1917,-0.2635,0.9489,2.4414,-0.6104,5.8594,rest
-0.1976,-0.2561,0.9468,0.1831,-0.2441,5.3711,rest
-0.1986,-0.2599,0.9448,0.5493,-0.9155,4.3335,rest
-0.1810,-0.2664,0.9471,1.0376,0.9155,0.5493,rest
-0.1887,-0.2666,0.9481,0.4883,-0.3662,-1.5869,rest
-0.1937,-0.2593,0.9423,-1.3428,1.0376,-4.2725,rest
-0.1841,-0.2393,0.9507,-0.1831,2.4414,-4.3945,rest
-0.1755,-0.2429,0.9592,1.2207,2.1973,-3.1128,rest
-0.1713,-0.2601,0.9521,1.8311,1.5869,-1.4648,rest
-0.1810,-0.2528,0.9565,-0.0610,0.7324,-1.1597,rest
-0.1952,-0.2550,0.9459,1.4648,-0.2441,-0.9766,rest
-0.2035,-0.2428,0.9471,0.1831,-0.0610,1.4648,rest
-0.1991,-0.2310,0.9486,1.2817,0.1831,3.6011,rest
-0.1809,-0.2599,0.9542,7.6294,1.4648,3.7231,rest
-0.1708,-0.2659,0.9512,4.1504,0.0610,3.9062,rest
-0.1758,-0.2617,0.9628,4.9438,-1.3428,6.1035,rest
-0.1815,-0.2805,0.9382,0.4272,-3.0518,6.2866,rest
-0.1788,-0.2725,0.9454,2.3804,-0.5493,-0.7935,rest
-0.1780,-0.2582,0.9534,0.2441,0.1831,0.3052,rest
-0.1776,-0.2765,0.9436,0.4272,0.0000,0.1831,rest
-0.1780,-0.2588,0.9565,1.2207,1.7700,-2.0142,rest
-0.1946,-0.2699,0.9392,-0.2441,-0.9766,1.9531,rest
-0.1980,-0.2728,0.9420,2.1973,0.8545,0.8545,rest
-0.1830,-0.2711,0.9509,0.8545,0.9155,1.5869,rest
-0.1869,-0.2936,0.9353,5.3711,0.1831,-0.2441,rest
-0.1968,-0.3054,0.9253,2.8687,1.5259,1.8921,rest
-0.1821,-0.2994,0.9340,4.3945,1.7700,-0.3052,rest
-0.1603,-0.2974,0.9471,1.5259,2.1362,1.8921,rest
-0.1497,-0.3179,0.9346,7.2021,1.8311,-1.5259,rest
-0.1625,-0.3331,0.9186,6.8359,5.0659,-6.0425,rest
-0.1624,-0.3196,0.9318,4.2114,7.5684,-12.2070,rest
-0.1505,-0.3190,0.9591,6.8359,4.0283,-12.0850,rest
-0.1624,-0.2798,0.9484,-1.5259,-0.9766,-5.3101,rest
-0.1602,-0.2988,0.9478,-0.6104,-1.2207,1.0376,rest
-0.1564,-0.3120,0.9272,2.1362,-2.5024,-0.7324,rest
-0.1632,-0.3020,0.9420,-3.2959,-2.4414,2.0752,rest
-0.1760,-0.2823,0.9429,-1.0986,-2.6855,4.3945,rest
-0.1697,-0.3022,0.9430,2.5024,-3.3569,7.0801,rest
